Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
537.5	243.5	-56.984177	12.288809	66.1628	56.887657	40.31347	32.45962	20.058083	12.17574	9.402407	8.464325	7.053431	5.519372	2.440061	4.6352143	2.9501033	2.7466724	2.0418901	0	484	12.288809	-56.984177	-4451.758	0.0	0.0	0.0	44.70356	142.93637	1.9576335	102.527016	-7.6457033	-4.323047	1015.28125	239.245	61.162502
531.5	244.5	-57.042534	12.290581	66.210175	56.824036	40.278717	32.502445	20.08607	12.1839285	9.368166	8.422697	7.0218863	5.476049	2.431188	4.602521	2.9216685	2.6917388	2.0147374	0	489	12.290581	-57.042534	-4462.7812	0.0	0.0	0.0	44.738926	142.87979	2.4679642	102.51179	-7.614063	-4.2984376	1015.275	239.17374	61.1375
532.5	244.5	-57.0332	12.288546	66.14385	56.78162	40.23238	32.309742	19.983448	12.093859	9.313381	8.381069	6.9587965	5.424061	2.431188	4.5443993	2.8754623	2.667324	2.0038764	0	488	12.288546	-57.0332	-4461.375	0.0	0.0	0.0	44.731804	142.8879	2.3829093	102.5143	-7.61875	-4.30625	1015.275	239.18999	61.15
533.5	244.5	-57.02387	12.286511	66.304924	56.972485	40.33664	32.427505	20.030094	12.167552	9.361318	8.429635	7.0155773	5.502043	2.440061	4.6061535	2.9181142	2.7161539	2.0255985	0	487	12.286511	-57.02387	-4459.9688	0.0	0.0	0.0	44.72468	142.89598	2.297854	102.51681	-7.6234374	-4.3140626	1015.275	239.20624	61.162502
527.5	245.5	-57.082226	12.288279	66.2765	56.951275	40.33664	32.43821	20.011435	12.102047	9.272293	8.360255	6.9461784	5.4067316	2.4223151	4.526236	2.850582	2.6368055	1.9930152	0	493	12.288279	-57.082226	-4469.121	0.0	0.0	0.0	44.76007	142.83945	2.8080232	102.50195	-7.598047	-4.2875004	1015.26874	239.13412	61.14805
528.5	245.5	-57.07289	12.286247	66.38072	56.99369	40.406143	32.53456	20.104729	12.208492	9.381862	8.436573	7.0218863	5.4847136	2.457807	4.5916233	2.9038968	2.7161539	2.0310292	0	492	12.286247	-57.07289	-4468.25	0.0	0.0	0.0	44.752934	142.84752	2.7231293	102.50411	-7.6	-4.2937503	1015.26874	239.15125	61.15
529.5	245.5	-57.063557	12.284212	66.25755	56.908863	40.26713	32.38468	20.002106	12.077482	9.258596	8.332503	6.9083247	5.4067316	2.440061	4.5153384	2.8434732	2.6490128	1.9875847	0	491	12.284212	-57.063557	-4466.992	0.0	0.0	0.0	44.74581	142.8556	2.6380742	102.50662	-7.6042967	-4.3019533	1015.26874	239.1675	61.162502
530.5	245.5	-57.054226	12.282176	66.18175	56.824036	40.290302	32.331154	19.95546	12.077482	9.27914	8.325565	6.933561	5.398067	2.431188	4.5153384	2.8470275	2.6551166	1.9930152	0	490	12.282176	-57.054226	-4465.7344	0.0	0.0	0.0	44.73869	142.86371	2.5530188	102.50913	-7.608594	-4.3101563	1015.26874	239.18375	61.175003
523.5	246.5	-57.121918	12.285959	66.53232	57.057312	40.382977	32.45962	20.011435	12.110235	9.265445	8.311689	6.920943	5.3634086	2.4223151	4.5044403	2.8257015	2.6123905	1.9875847	0	497	12.285959	-57.121918	-4473.6016	0.0	0.0	0.0	44.78125	142.79921	3.1475983	102.493164	-7.588281	-4.2812505	1015.2625	239.09235	61.188286
524.5	246.5	-57.112583	12.283929	66.5039	57.120934	40.429314	32.470325	20.058083	12.126612	9.285989	8.318627	6.927252	5.3894024	2.4134424	4.518971	2.8434732	2.6062868	1.9930152	0	496	12.283929	-57.112583	-4472.7812	0.0	0.0	0.0	44.774113	142.80727	3.0627046	102.49532	-7.590625	-4.2875004	1015.2625	239.10938	61.190628
